Shoe,Link
Nike Cosmic Unity,https://www.nike.com/t/cosmic-unity-basketball-shoe-nDHKr4/DA6725-100
LeBron 18 Low,https://www.nike.com/t/lebron-18-low-basketball-shoe-grSm2X/CV7562-100
KD14,https://www.nike.com/t/kd14-basketball-shoe-jpGCSF/CW3935-001
"LeBron 18 ""White/Black/Gold""",https://www.nike.com/t/lebron-18-white-black-gold-basketball-shoe-M6DgN2/CQ9283-100
Zoom Freak 2,https://www.nike.com/t/zoom-freak-2-basketball-shoe-RxdZ5p/CW3162-800
"Kyrie 7 ""Chinese New Year""",https://www.nike.com/t/kyrie-7-chinese-new-year-basketball-shoe-5Kj9Lr/CQ9326-006
PG 5,https://www.nike.com/t/pg-5-basketball-shoe-xq3sQw/CW3143-002
Nike Air Zoom G.T. Cut,https://www.nike.com/t/air-zoom-gt-cut-basketball-shoe-kTDfNK/CZ0175-001
"Kyrie 7 ""Play for the Future""",https://www.nike.com/t/kyrie-7-play-for-the-future-basketball-shoe-72twcG/DD1447-800
"LeBron 18 ""Play for the Future""",https://www.nike.com/t/lebron-18-play-for-the-future-basketball-shoe-qfF6pd/CW3156-400
LeBron Witness 5,https://www.nike.com/t/lebron-witness-5-basketball-shoe-XJrPgC/CQ9380-004
Kyrie Flytrap 4,https://www.nike.com/t/kyrie-flytrap-4-basketball-shoe-0TKwJ7/CT1972-003
KD13,https://www.nike.com/t/kd13-basketball-shoe-5KMwS4/CI9948-004
KD13 (Team),https://www.nike.com/t/kd13-team-basketball-shoe-1q21KR/CK6017-001
Kyrie Low 3,https://www.nike.com/t/kyrie-low-3-basketball-shoe-4VT0rq/CJ1286-101
Nike Precision 4,https://www.nike.com/t/precision-4-basketball-shoe-N8ZKrT/CK1069-006
Nike Fly.By Mid 2,https://www.nike.com/t/flyby-mid-2-basketball-shoe-Sd9lfz/CU3503-004
Nike Renew Elevate,https://www.nike.com/t/renew-elevate-basketball-shoe-9Ht3N6/CK2669-003
Mamba Fury,https://www.nike.com/t/mamba-fury-basketball-shoe-TRrchD/CK2087-100
Nike Adapt BB 2.0,https://www.nike.com/t/adapt-bb-2-basketball-shoe-vdFwKS/BQ5397-101
"Nike Air Zoom BB NXT ""Sisterhood""",https://www.nike.com/t/air-zoom-bb-nxt-sisterhood-basketball-shoe-DkL3bs/DB9990-100
Nike Air Zoom BB NXT,https://www.nike.com/t/air-zoom-bb-nxt-basketball-shoe-LwXlsl/CK5707-600
Air Jordan XXXV,https://www.nike.com/t/air-jordan-xxxv-basketball-shoe-cgVrrs/CQ4227-030
Kyrie 6 (Team),https://www.nike.com/t/kyrie-6-team-basketball-shoe-5Wcc9j/CW4142-402
Kyrie Low 3 (Team),https://www.nike.com/t/kyrie-low-3-team-basketball-shoe-1MrGfs/CW6228-004
"Kyrie 6 ""Triple Black""",https://www.nike.com/t/kyrie-6-triple-black-basketball-shoe-TW3wsC/BQ4630-006
Kybrid S2,https://www.nike.com/t/kybrid-s2-basketball-shoe-LjMCLj/CQ9323-300
PG 4 'Digi-Camo' GE,https://www.nike.com/t/pg-4-digi-camo-ge-basketball-shoe-Sj6pxV/CZ6203-200
PG 4 (Team),https://www.nike.com/t/pg-4-team-basketball-shoe-7gRgF9/CK5828-600
PG 4 PCG,https://www.nike.com/t/pg-4-pcg-basketball-shoe-H0MT65/CZ2240-200
Nike Renew Elevate 2,https://www.nike.com/t/renew-elevate-2-basketball-shoe-v0S9N8/CW3406-001
PG 4,https://www.nike.com/t/pg-4-basketball-shoe-tszRns/CD5079-002
KD Trey 5 IX,https://www.nike.com/t/kd-trey-5-ix-basketball-shoe-1HJf9Q/CW3400-001
Nike Precision 5,https://www.nike.com/t/precision-5-basketball-shoe-PKN7Vk/CW3403-001
"Jordan 'Why Not?' Zer0.4 ""Trust & Loyalty""",https://www.nike.com/t/jordan-why-not-zer04-trust-loyalty-basketball-shoe-wN3CJr/DM1289-401
LeBron 16 Hot Lava White,https://www.nike.com/t/lebron-16-hot-lava-white-basketball-shoe-63nkPf/CI1521-100
Nike Precision 4 FlyEase,https://www.nike.com/t/precision-4-flyease-basketball-shoe-5D3mPs/CV3450-002
KD Trey 5 VIII,https://www.nike.com/t/kd-trey-5-viii-basketball-shoe-V8GMDr/CK2090-002
Kyrie Flytrap 3,https://www.nike.com/t/kyrie-flytrap-3-basketball-shoe-98K5l5/BQ3060-001
Zion 1,https://www.nike.com/t/zion-1-basketball-shoe-bJ0hLJ/DA3130-100
Nike Zoom Rize (Team),https://www.nike.com/t/zoom-rize-team-basketball-shoe-bntnTz/BQ5468-600
Air Jordan XXXV,https://www.nike.com/launch/r/DJ6166-006
"LeBron 18 ""The Chosen 2""",https://www.nike.com/t/lebron-18-the-chosen-2-basketball-shoe-m86vlQ/DB8148-001
Nike Air Max Impact 2,https://www.nike.com/t/air-max-impact-2-basketball-shoe-0gQPMt/CQ9382-100
Nike Fly.By Mid 2 NBK,https://www.nike.com/t/flyby-mid-2-nbk-basketball-shoe-69B1LB/CU3501-004
"Jordan 'Why Not?' Zer0.4 ""Family""",https://www.nike.com/t/jordan-why-not-zer04-family-basketball-shoe-MkFHlx/CQ4230-001
Jordan One Take II,https://www.nike.com/t/jordan-one-take-ii-basketball-shoe-dcsGDx/CW2457-106
Nike Precision 5 FlyEase,https://www.nike.com/t/precision-5-flyease-basketball-shoe-lJD6Wr/DC5590-001
LeBron Witness 4 (Team),https://www.nike.com/t/lebron-witness-4-team-basketball-shoe-bnFQ8l/CV4004-001
Zoom Freak 1,https://www.nike.com/t/zoom-freak-1-basketball-shoe-1zp8Zn/BQ5422-101
Nike Zoom Rize 2 By You,https://www.nike.com/u/custom-nike-zoom-rize-2-by-you-10000975/8003586458
Kyrie 7 By You,https://www.nike.com/u/custom-kyrie-7-by-you-10000977/9237205927
Zoom Freak 2 By You,https://www.nike.com/u/custom-nike-zoom-freak-2-by-you-10000904/4762523190
LeBron Soldier 14 By You,https://www.nike.com/u/custom-lebron-soldier-14-by-you-10000914/1983553382
PG 5 By You,https://www.nike.com/u/custom-pg-5-by-you-10001016/8766808837
KD13 By You,https://www.nike.com/u/custom-nike-kd13-by-you-10000906/4767868184
