Date,Time,Size,Price
"Saturday, May 8, 2021",12:57 AM EST,8.5,$539
"Saturday, May 8, 2021",8:53 PM EST,11,$393
"Thursday, May 6, 2021",10:15 PM EST,10.5,$399
"Thursday, May 6, 2021",8:22 PM EST,9,$380
"Thursday, May 6, 2021",12:55 PM EST,10.5,$375
"Tuesday, May 4, 2021",7:57 PM EST,11,$399
"Tuesday, May 4, 2021",1:07 PM EST,11,$375
"Tuesday, May 4, 2021",7:04 AM EST,13,$398
"Saturday, May 1, 2021",11:23 PM EST,12,$406
"Friday, April 30, 2021",2:08 PM EST,11,$399
"Thursday, April 29, 2021",9:29 PM EST,9.5,$381
"Thursday, April 29, 2021",8:46 AM EST,9,$375
"Wednesday, April 28, 2021",2:11 AM EST,10,$420
"Monday, April 26, 2021",4:26 PM EST,12,$350
"Saturday, April 24, 2021",7:17 AM EST,10.5,$400
"Friday, April 23, 2021",8:55 AM EST,13,$350
"Friday, April 23, 2021",2:04 AM EST,14,$399
"Thursday, April 22, 2021",11:26 PM EST,9.5,$372
"Thursday, April 22, 2021",5:03 PM EST,11,$341
"Thursday, April 22, 2021",10:22 AM EST,8,$400
"Wednesday, April 21, 2021",11:56 PM EST,11.5,$375
"Wednesday, April 21, 2021",8:54 AM EST,10,$345
"Monday, April 19, 2021",6:22 PM EST,10.5,$400
"Saturday, April 17, 2021",8:05 PM EST,13,$348
"Saturday, April 17, 2021",7:21 PM EST,12.5,$395
"Friday, April 16, 2021",12:24 PM EST,11,$336
"Friday, April 16, 2021",3:24 AM EST,11,$331
"Thursday, April 15, 2021",10:27 PM EST,9,$392
"Wednesday, April 14, 2021",9:41 AM EST,10,$360
"Wednesday, April 14, 2021",5:18 AM EST,9.5,$366
"Tuesday, April 13, 2021",2:03 PM EST,9,$266
"Tuesday, April 13, 2021",8:33 AM EST,10,$330
"Monday, April 12, 2021",3:12 PM EST,9.5,$352
"Sunday, April 11, 2021",8:11 PM EST,11,$280
"Saturday, April 10, 2021",12:48 PM EST,11,$380
"Friday, April 9, 2021",8:07 AM EST,9,$393
"Thursday, April 8, 2021",5:13 PM EST,10.5,$315
"Thursday, April 8, 2021",11:35 AM EST,9.5,$470
"Wednesday, April 7, 2021",2:27 PM EST,13,$326
"Monday, April 5, 2021",3:48 PM EST,12,$357
"Monday, April 5, 2021",3:29 PM EST,10,$355
"Monday, April 5, 2021",2:17 PM EST,8,$399
"Sunday, April 4, 2021",8:46 PM EST,11,$395
"Sunday, April 4, 2021",6:22 PM EST,9,$340
"Saturday, April 3, 2021",6:38 PM EST,10,$350
"Saturday, April 3, 2021",2:11 AM EST,11.5,$347
"Thursday, April 1, 2021",10:17 PM EST,12,$330
"Thursday, April 1, 2021",1:45 PM EST,10,$300
"Thursday, April 1, 2021",2:13 AM EST,9,$339
"Wednesday, March 31, 2021",11:24 AM EST,10,$354
"Tuesday, March 30, 2021",10:21 PM EST,11.5,$346
"Monday, March 29, 2021",4:04 PM EST,13,$360
"Sunday, March 28, 2021",5:19 PM EST,10.5,$360
"Saturday, March 27, 2021",8:56 PM EST,12,$325
"Friday, March 26, 2021",7:15 PM EST,11,$355
"Thursday, March 25, 2021",10:08 PM EST,12,$320
"Thursday, March 25, 2021",12:16 PM EST,10.5,$355
"Wednesday, March 24, 2021",6:10 PM EST,14,$342
"Wednesday, March 24, 2021",1:35 PM EST,9.5,$350
"Wednesday, March 24, 2021",5:44 AM EST,10.5,$375
"Tuesday, March 23, 2021",7:58 PM EST,9,$338
"Tuesday, March 23, 2021",9:31 AM EST,10,$326
"Monday, March 22, 2021",1:14 AM EST,8,$393
"Thursday, March 18, 2021",6:47 PM EST,10.5,$354
"Wednesday, March 17, 2021",11:05 PM EST,11,$300
"Wednesday, March 17, 2021",8:22 PM EST,11,$300
"Wednesday, March 17, 2021",3:18 PM EST,11,$346
"Wednesday, March 17, 2021",12:36 PM EST,9,$320
"Wednesday, March 17, 2021",11:28 AM EST,9,$319
"Tuesday, March 16, 2021",9:01 PM EST,9.5,$343
"Tuesday, March 16, 2021",1:09 AM EST,11,$314
"Monday, March 15, 2021",4:32 PM EST,8.5,$400
"Monday, March 15, 2021",6:39 AM EST,9.5,$343
"Saturday, March 13, 2021",5:20 PM EST,13,$364
"Saturday, March 13, 2021",3:48 PM EST,10.5,$333
"Friday, March 12, 2021",12:18 PM EST,10,$300
"Thursday, March 11, 2021",8:30 PM EST,8.5,$364
"Wednesday, March 10, 2021",6:47 PM EST,8.5,$345
"Saturday, March 6, 2021",8:02 AM EST,10,$400
"Friday, March 5, 2021",6:29 PM EST,11,$343
"Wednesday, March 3, 2021",4:15 PM EST,12,$320
"Sunday, February 28, 2021",1:05 PM EST,11.5,$341
"Thursday, February 25, 2021",12:21 AM EST,10.5,$350
"Thursday, February 25, 2021",6:34 PM EST,9.5,$357
"Monday, February 22, 2021",8:06 PM EST,10.5,$350
"Monday, February 22, 2021",1:05 AM EST,10.5,$342
"Sunday, February 21, 2021",8:14 PM EST,9,$256
"Saturday, February 13, 2021",9:37 AM EST,12.5,$285
"Wednesday, February 10, 2021",7:31 AM EST,9.5,$360
"Tuesday, February 9, 2021",10:42 AM EST,9,$336
"Monday, February 8, 2021",5:24 PM EST,10,$305
"Saturday, February 6, 2021",9:11 AM EST,9.5,$368
"Friday, February 5, 2021",5:23 PM EST,9.5,$364
"Thursday, February 4, 2021",7:14 AM EST,11.5,$300
"Tuesday, February 2, 2021",5:30 PM EST,9.5,$340
"Sunday, January 31, 2021",6:36 PM EST,12,$339
"Friday, January 29, 2021",12:54 PM EST,10,$340
"Thursday, January 28, 2021",6:15 AM EST,11,$348
"Monday, January 25, 2021",10:11 AM EST,10,$346
"Friday, January 22, 2021",11:54 AM EST,13,$325
"Thursday, January 21, 2021",6:21 AM EST,11,$348
"Wednesday, January 20, 2021",2:31 AM EST,10,$345
"Monday, January 18, 2021",10:12 PM EST,13,$300
"Monday, January 18, 2021",11:00 AM EST,10,$346
"Sunday, January 17, 2021",11:09 PM EST,9.5,$300
"Saturday, January 16, 2021",5:16 AM EST,9.5,$285
"Saturday, January 16, 2021",3:20 AM EST,9.5,$290
"Thursday, January 7, 2021",9:54 AM EST,9.5,$350
"Wednesday, January 6, 2021",7:48 AM EST,12,$375
"Wednesday, January 6, 2021",1:21 AM EST,10.5,$335
"Tuesday, January 5, 2021",12:46 AM EST,11,$375
"Monday, January 4, 2021",4:00 PM EST,10.5,$334
"Sunday, January 3, 2021",4:05 AM EST,12,$340
"Sunday, January 3, 2021",2:23 AM EST,13,$373
"Saturday, January 2, 2021",6:41 PM EST,11,$300
"Friday, January 1, 2021",10:46 PM EST,12,$366
"Friday, January 1, 2021",9:12 AM EST,11.5,$300
"Friday, January 1, 2021",8:11 AM EST,11,$305
"Tuesday, December 29, 2020",10:54 AM EST,9,$350
"Monday, December 28, 2020",9:11 PM EST,7.5,$336
"Monday, December 28, 2020",10:41 AM EST,9.5,$323
"Monday, December 28, 2020",5:02 AM EST,9.5,$320
"Sunday, December 27, 2020",8:03 PM EST,10.5,$323
"Saturday, December 26, 2020",6:40 AM EST,9,$341
"Friday, December 25, 2020",5:16 PM EST,9.5,$250
"Thursday, December 24, 2020",2:09 AM EST,12,$330
"Monday, December 21, 2020",12:30 AM EST,9.5,$280
"Monday, December 21, 2020",11:05 PM EST,8.5,$267
"Monday, December 21, 2020",10:14 PM EST,10,$350
"Sunday, December 20, 2020",11:22 PM EST,9.5,$315
"Saturday, December 19, 2020",12:24 AM EST,13,$305
"Saturday, December 19, 2020",7:41 PM EST,9.5,$344
"Monday, December 14, 2020",10:29 PM EST,11,$315
"Monday, December 14, 2020",3:45 AM EST,10.5,$305
"Saturday, December 12, 2020",3:42 PM EST,10,$325
"Saturday, December 12, 2020",8:25 AM EST,12,$320
"Friday, December 11, 2020",10:25 PM EST,12,$299
"Tuesday, December 8, 2020",9:02 PM EST,11,$354
"Tuesday, December 8, 2020",3:09 PM EST,12,$282
"Tuesday, December 8, 2020",1:04 PM EST,9.5,$285
"Tuesday, December 8, 2020",1:54 AM EST,11.5,$260
"Friday, December 4, 2020",2:39 PM EST,10.5,$330
"Friday, December 4, 2020",11:57 AM EST,8.5,$340
"Wednesday, December 2, 2020",6:05 PM EST,12,$319
"Monday, November 30, 2020",11:34 PM EST,8.5,$270
"Monday, November 30, 2020",4:23 PM EST,11,$350
"Sunday, November 29, 2020",12:37 PM EST,11.5,$300
"Saturday, November 28, 2020",5:54 PM EST,9.5,$287
"Saturday, November 28, 2020",3:35 PM EST,11,$317
"Friday, November 27, 2020",6:07 PM EST,11,$299
"Friday, November 27, 2020",3:38 PM EST,9,$375
"Monday, November 23, 2020",8:56 AM EST,13,$375
"Sunday, November 22, 2020",10:19 AM EST,9.5,$334
"Thursday, November 19, 2020",5:55 AM EST,13,$340
"Monday, November 16, 2020",12:43 PM EST,14,$289
"Friday, November 13, 2020",12:13 PM EST,8.5,$270
"Wednesday, November 11, 2020",1:15 PM EST,11,$276
"Tuesday, November 10, 2020",3:19 PM EST,10.5,$262
"Monday, November 9, 2020",7:38 PM EST,8.5,$345
"Saturday, November 7, 2020",11:46 PM EST,8,$320
"Thursday, November 5, 2020",10:33 PM EST,11.5,$283
"Thursday, November 5, 2020",10:21 PM EST,11,$290
"Wednesday, November 4, 2020",10:23 PM EST,9,$379
"Wednesday, October 28, 2020",10:37 AM EST,11,$300
