Date,Time,Size,Price
"Sunday, May 9, 2021",8:33 PM EST,9.5,$246
"Sunday, May 9, 2021",8:33 PM EST,9.5,$243
"Sunday, May 9, 2021",8:30 PM EST,8.5,$248
"Sunday, May 9, 2021",8:30 PM EST,11,$244
"Sunday, May 9, 2021",8:28 PM EST,11.5,$248
"Sunday, May 9, 2021",8:27 PM EST,9.5,$243
"Sunday, May 9, 2021",8:26 PM EST,10.5,$242
"Sunday, May 9, 2021",8:25 PM EST,13,$242
"Sunday, May 9, 2021",8:24 PM EST,9,$243
"Sunday, May 9, 2021",8:23 PM EST,8,$245
"Sunday, May 9, 2021",8:21 PM EST,12,$245
"Sunday, May 9, 2021",8:16 PM EST,9,$240
"Sunday, May 9, 2021",8:16 PM EST,9,$235
"Sunday, May 9, 2021",8:16 PM EST,14,$245
"Sunday, May 9, 2021",8:12 PM EST,9,$240
"Sunday, May 9, 2021",8:10 PM EST,12,$246
"Sunday, May 9, 2021",8:09 PM EST,9.5,$246
"Sunday, May 9, 2021",8:08 PM EST,10.5,$243
"Sunday, May 9, 2021",8:07 PM EST,9,$239
"Sunday, May 9, 2021",8:07 PM EST,13,$228
"Sunday, May 9, 2021",8:05 PM EST,11,$244
"Sunday, May 9, 2021",8:04 PM EST,8.5,$248
"Sunday, May 9, 2021",7:59 PM EST,9.5,$231
"Sunday, May 9, 2021",7:58 PM EST,10.5,$240
"Sunday, May 9, 2021",7:56 PM EST,12,$232
"Sunday, May 9, 2021",7:53 PM EST,11,$240
"Sunday, May 9, 2021",7:53 PM EST,8.5,$247
"Sunday, May 9, 2021",7:51 PM EST,12,$247
"Sunday, May 9, 2021",7:51 PM EST,9,$239
"Sunday, May 9, 2021",7:50 PM EST,11.5,$249
"Sunday, May 9, 2021",7:49 PM EST,11,$240
"Sunday, May 9, 2021",7:49 PM EST,12,$247
"Sunday, May 9, 2021",7:48 PM EST,9.5,$246
"Sunday, May 9, 2021",7:48 PM EST,9.5,$246
"Sunday, May 9, 2021",7:47 PM EST,8,$245
"Sunday, May 9, 2021",7:46 PM EST,10,$244
"Sunday, May 9, 2021",7:43 PM EST,9.5,$240
"Sunday, May 9, 2021",7:42 PM EST,10,$244
"Sunday, May 9, 2021",7:39 PM EST,13,$243
"Sunday, May 9, 2021",7:36 PM EST,7.5,$265
"Sunday, May 9, 2021",7:34 PM EST,13,$245
"Sunday, May 9, 2021",7:31 PM EST,10.5,$243
"Sunday, May 9, 2021",7:29 PM EST,9.5,$246
"Sunday, May 9, 2021",7:27 PM EST,12,$246
"Sunday, May 9, 2021",7:25 PM EST,12,$245
"Sunday, May 9, 2021",7:23 PM EST,10,$244
"Sunday, May 9, 2021",7:22 PM EST,10,$243
"Sunday, May 9, 2021",7:20 PM EST,8.5,$249
"Sunday, May 9, 2021",7:18 PM EST,10,$243
"Sunday, May 9, 2021",7:18 PM EST,15,$266
"Sunday, May 9, 2021",7:17 PM EST,11,$240
"Sunday, May 9, 2021",7:14 PM EST,12,$245
"Sunday, May 9, 2021",7:13 PM EST,11,$244
"Sunday, May 9, 2021",7:12 PM EST,9.5,$245
"Sunday, May 9, 2021",7:11 PM EST,12,$244
"Sunday, May 9, 2021",7:02 PM EST,7.5,$264
"Sunday, May 9, 2021",7:00 PM EST,11,$244
"Sunday, May 9, 2021",6:59 PM EST,9,$238
"Sunday, May 9, 2021",6:58 PM EST,12,$245
"Sunday, May 9, 2021",6:58 PM EST,11,$244
"Sunday, May 9, 2021",6:54 PM EST,9.5,$242
"Sunday, May 9, 2021",6:51 PM EST,13,$247
"Sunday, May 9, 2021",6:49 PM EST,9,$232
"Sunday, May 9, 2021",6:47 PM EST,8.5,$249
"Sunday, May 9, 2021",6:46 PM EST,9,$238
"Sunday, May 9, 2021",6:46 PM EST,12,$245
"Sunday, May 9, 2021",6:45 PM EST,10.5,$246
"Sunday, May 9, 2021",6:44 PM EST,10.5,$246
"Sunday, May 9, 2021",6:43 PM EST,13,$246
"Sunday, May 9, 2021",6:42 PM EST,10,$243
"Sunday, May 9, 2021",6:42 PM EST,15,$266
"Sunday, May 9, 2021",6:41 PM EST,10.5,$246
"Sunday, May 9, 2021",6:40 PM EST,14,$249
"Sunday, May 9, 2021",6:40 PM EST,10,$239
"Sunday, May 9, 2021",6:40 PM EST,8.5,$249
"Sunday, May 9, 2021",6:37 PM EST,8,$241
"Sunday, May 9, 2021",6:36 PM EST,14,$248
"Sunday, May 9, 2021",6:33 PM EST,11,$243
"Sunday, May 9, 2021",6:32 PM EST,12,$244
"Sunday, May 9, 2021",6:30 PM EST,9,$238
"Sunday, May 9, 2021",6:30 PM EST,8,$241
"Sunday, May 9, 2021",6:29 PM EST,9,$238
"Sunday, May 9, 2021",6:29 PM EST,7.5,$255
"Sunday, May 9, 2021",6:27 PM EST,13,$245
"Sunday, May 9, 2021",6:26 PM EST,10,$234
"Sunday, May 9, 2021",6:24 PM EST,9,$235
"Sunday, May 9, 2021",6:23 PM EST,8.5,$249
"Sunday, May 9, 2021",6:22 PM EST,8,$241
"Sunday, May 9, 2021",6:22 PM EST,12,$245
"Sunday, May 9, 2021",6:21 PM EST,13,$245
"Sunday, May 9, 2021",6:20 PM EST,8.5,$249
"Sunday, May 9, 2021",6:20 PM EST,14,$248
"Sunday, May 9, 2021",6:20 PM EST,8.5,$247
"Sunday, May 9, 2021",6:19 PM EST,9,$238
"Sunday, May 9, 2021",6:18 PM EST,10.5,$246
"Sunday, May 9, 2021",6:16 PM EST,12,$244
"Sunday, May 9, 2021",6:16 PM EST,11.5,$249
"Sunday, May 9, 2021",6:16 PM EST,11,$243
"Sunday, May 9, 2021",6:16 PM EST,8.5,$247
"Sunday, May 9, 2021",6:15 PM EST,10.5,$246
"Sunday, May 9, 2021",6:13 PM EST,9.5,$245
