Date,Time,Size,Price
"Sunday, March 28, 2021",6:38 PM EST,10.5,$500
"Wednesday, February 17, 2021",12:01 AM EST,10.5,$400
"Friday, February 12, 2021",2:56 AM EST,10.5,$345
"Thursday, November 19, 2020",5:20 PM EST,12,$350
"Monday, November 9, 2020",11:43 PM EST,10,$400
"Monday, September 21, 2020",8:54 PM EST,9.5,$380
"Wednesday, September 9, 2020",2:22 AM EST,11,$503
"Tuesday, August 25, 2020",5:58 PM EST,9,$450
"Sunday, August 2, 2020",1:55 PM EST,12,$546
"Wednesday, May 27, 2020",3:31 PM EST,9.5,$380
"Sunday, May 10, 2020",10:43 AM EST,9.5,$450
"Thursday, May 7, 2020",7:55 PM EST,14,$345
"Tuesday, March 31, 2020",9:57 PM EST,8,$340
"Sunday, March 22, 2020",10:09 AM EST,9,$500
"Friday, January 24, 2020",3:44 PM EST,9,$385
"Saturday, January 11, 2020",9:29 AM EST,11.5,$250
"Wednesday, November 27, 2019",8:07 AM EST,12,$255
"Friday, September 13, 2019",10:27 PM EST,9.5,$215
"Monday, September 2, 2019",8:50 PM EST,10,$305
"Thursday, August 1, 2019",10:43 AM EST,9.5,$269
"Monday, July 15, 2019",2:58 PM EST,9.5,$250
"Thursday, July 11, 2019",12:51 AM EST,11,$216
"Wednesday, April 24, 2019",12:40 AM EST,11,$281
"Wednesday, April 17, 2019",7:05 PM EST,8,$315
"Wednesday, March 6, 2019",11:20 PM EST,12,$224
"Wednesday, March 6, 2019",2:16 AM EST,13,$299
"Monday, March 4, 2019",11:29 PM EST,11,$200
"Monday, March 4, 2019",9:59 PM EST,11.5,$220
"Thursday, December 27, 2018",9:22 AM EST,12,$499
"Thursday, July 12, 2018",2:42 PM EST,11,$199
"Wednesday, November 29, 2017",5:57 PM EST,9.5,$311
"Wednesday, April 5, 2017",9:02 PM EST,14,$500
