Date,Time,Size,Price
"Tuesday, May 11, 2021",8:25 PM EST,13,$220
"Tuesday, May 11, 2021",3:09 PM EST,11,$150
"Monday, May 10, 2021",12:25 AM EST,8.5,$152
"Monday, May 10, 2021",8:55 PM EST,10,$120
"Saturday, May 8, 2021",12:55 AM EST,9,$120
"Thursday, May 6, 2021",11:17 PM EST,10.5,$160
"Tuesday, May 4, 2021",9:10 PM EST,10,$124
"Monday, May 3, 2021",6:27 PM EST,12,$168
"Sunday, May 2, 2021",8:26 PM EST,12,$160
"Sunday, May 2, 2021",1:01 PM EST,13,$116
"Saturday, May 1, 2021",7:46 PM EST,10,$123
"Saturday, May 1, 2021",7:41 PM EST,10,$119
"Saturday, May 1, 2021",10:53 AM EST,9,$120
"Saturday, May 1, 2021",7:27 AM EST,12,$160
"Friday, April 30, 2021",5:44 PM EST,6.5,$130
"Friday, April 30, 2021",4:59 PM EST,11,$149
"Friday, April 30, 2021",2:38 AM EST,11,$149
"Wednesday, April 28, 2021",11:08 PM EST,12,$170
"Wednesday, April 28, 2021",8:51 PM EST,12.5,$180
"Wednesday, April 28, 2021",3:22 PM EST,11,$125
"Tuesday, April 27, 2021",7:11 AM EST,11.5,$175
"Monday, April 26, 2021",8:14 PM EST,11,$125
"Monday, April 26, 2021",3:55 AM EST,11,$125
"Sunday, April 25, 2021",5:51 AM EST,13,$200
"Friday, April 23, 2021",2:51 PM EST,12,$230
"Wednesday, April 21, 2021",8:05 PM EST,13,$180
"Wednesday, April 21, 2021",7:54 AM EST,9,$145
"Monday, April 19, 2021",10:39 PM EST,10,$142
"Monday, April 19, 2021",9:45 PM EST,10,$142
"Monday, April 19, 2021",6:24 PM EST,10,$142
"Monday, April 19, 2021",11:13 AM EST,10.5,$108
"Monday, April 19, 2021",7:17 AM EST,13,$120
"Sunday, April 18, 2021",11:42 PM EST,13,$180
"Saturday, April 17, 2021",10:20 AM EST,9,$130
"Saturday, April 17, 2021",4:42 AM EST,8.5,$125
"Friday, April 16, 2021",5:22 PM EST,10,$137
"Thursday, April 15, 2021",2:52 PM EST,12,$185
"Thursday, April 15, 2021",2:04 PM EST,13,$160
"Wednesday, April 14, 2021",9:53 PM EST,12,$125
"Tuesday, April 13, 2021",1:48 PM EST,12.5,$168
"Sunday, April 11, 2021",12:32 AM EST,9,$112
"Thursday, April 8, 2021",8:45 PM EST,12,$161
