Date,Size,Price
"Thursday, April 22, 2021",9,"$2,250"
"Wednesday, April 21, 2021",5,"$1,400"
"Tuesday, April 20, 2021",9,"$2,165"
"Monday, April 19, 2021",11,"$2,768"
"Sunday, April 18, 2021",7,"$2,572"
"Saturday, April 17, 2021",11,"$2,358"
"Friday, April 16, 2021",9,"$2,674"
"Thursday, April 15, 2021",13,"$2,516"
"Thursday, April 15, 2021",10,"$2,775"
"Thursday, April 15, 2021",9,"$2,423"
"Tuesday, April 13, 2021",12,"$2,363"
"Sunday, April 11, 2021",9,"$2,435"
"Wednesday, April 7, 2021",13,"$2,322"
"Monday, April 5, 2021",7,"$1,650"
"Monday, April 5, 2021",12,"$2,227"
"Sunday, April 4, 2021",10,"$2,402"
"Saturday, April 3, 2021",9,"$2,550"
"Thursday, April 1, 2021",11,"$2,410"
"Thursday, March 25, 2021",8,"$2,107"
"Tuesday, March 23, 2021",12,"$2,150"
"Wednesday, March 17, 2021",9,"$2,500"
"Wednesday, March 17, 2021",13,"$2,044"
"Tuesday, March 16, 2021",7,"$2,100"
"Saturday, March 13, 2021",9,"$2,750"
"Saturday, March 13, 2021",6,"$1,750"
"Friday, March 12, 2021",9,"$2,296"
"Friday, March 12, 2021",8,"$2,107"
"Friday, March 12, 2021",9,"$2,411"
"Tuesday, March 9, 2021",10,"$2,500"
"Tuesday, March 9, 2021",8,"$2,323"
"Sunday, March 7, 2021",14,"$2,500"
"Sunday, March 7, 2021",13,"$1,708"
"Saturday, March 6, 2021",12,"$2,197"
"Friday, March 5, 2021",10,"$2,575"
"Tuesday, March 2, 2021",12,"$2,162"
"Tuesday, March 2, 2021",8,"$2,437"
"Monday, March 1, 2021",12,"$2,300"
"Monday, March 1, 2021",13,"$2,390"
"Saturday, February 27, 2021",9,"$2,370"
"Wednesday, February 24, 2021",10,"$2,600"
"Tuesday, February 23, 2021",11,"$2,380"
"Thursday, February 18, 2021",12,"$1,775"
"Sunday, February 14, 2021",9,"$2,468"
"Saturday, February 13, 2021",9,"$2,550"
"Saturday, February 13, 2021",12,"$2,050"
"Saturday, February 13, 2021",11,"$2,101"
"Friday, February 12, 2021",12,"$2,059"
"Friday, February 12, 2021",9,"$2,452"
"Monday, February 8, 2021",10,"$2,500"
"Wednesday, February 3, 2021",11,"$2,250"
"Wednesday, February 3, 2021",10,"$3,319"
"Sunday, January 31, 2021",10,"$2,561"
"Thursday, January 28, 2021",10,"$2,858"
"Thursday, January 28, 2021",12,"$2,478"
"Wednesday, January 27, 2021",9,"$2,624"
"Friday, January 22, 2021",7,"$3,099"
"Thursday, January 21, 2021",9,"$2,400"
"Wednesday, January 20, 2021",12,"$2,172"
"Monday, January 18, 2021",6,"$2,170"
"Thursday, January 14, 2021",13,"$1,500"
"Wednesday, January 13, 2021",10,"$2,550"
"Wednesday, January 13, 2021",11,"$2,300"
"Tuesday, January 12, 2021",14,"$2,450"
"Tuesday, January 12, 2021",10,"$2,549"
"Monday, January 11, 2021",9,"$2,620"
"Monday, January 11, 2021",13,"$1,510"
"Thursday, January 7, 2021",9,"$2,461"
"Thursday, January 7, 2021",9,"$2,460"
"Thursday, December 31, 2020",9,"$2,400"
"Wednesday, December 30, 2020",9,"$2,100"
"Monday, December 28, 2020",9,"$2,300"
"Saturday, December 26, 2020",9,"$2,396"
"Tuesday, December 22, 2020",11,"$2,100"
"Monday, December 21, 2020",12,"$2,163"
"Monday, December 21, 2020",9,"$2,300"
"Monday, December 21, 2020",11,"$2,400"
"Friday, December 18, 2020",10,"$2,575"
"Friday, December 18, 2020",7,"$2,500"
"Tuesday, December 15, 2020",13,"$1,550"
"Friday, December 11, 2020",10,"$2,500"
"Friday, December 11, 2020",9,"$2,172"
"Thursday, December 10, 2020",10,"$3,432"
"Tuesday, December 8, 2020",10,"$2,200"
"Monday, December 7, 2020",13,"$1,800"
"Monday, December 7, 2020",10,"$2,600"
"Sunday, December 6, 2020",10,"$1,912"
"Wednesday, December 2, 2020",6,"$1,920"
"Wednesday, December 2, 2020",11,"$2,455"
"Monday, November 30, 2020",11,"$2,251"
"Monday, November 30, 2020",12,"$2,175"
"Saturday, November 28, 2020",11,"$2,392"
"Friday, November 27, 2020",9,"$2,200"
"Thursday, November 26, 2020",9,"$2,469"
"Monday, November 23, 2020",13,"$1,801"
"Sunday, November 22, 2020",6,"$1,794"
"Saturday, November 21, 2020",10,"$2,300"
"Wednesday, November 18, 2020",10,"$2,150"
