Date,Size,Price
"Thursday, April 22, 2021",10,$418
"Thursday, April 22, 2021",11,$455
"Thursday, April 22, 2021",8.5,$400
"Thursday, April 22, 2021",10,$416
"Thursday, April 22, 2021",9,$400
"Thursday, April 22, 2021",13,$575
"Thursday, April 22, 2021",12,$426
"Thursday, April 22, 2021",13,$450
"Thursday, April 22, 2021",10.5,$400
"Thursday, April 22, 2021",12.5,$440
"Thursday, April 22, 2021",9.5,$430
"Thursday, April 22, 2021",7,$429
"Thursday, April 22, 2021",10.5,$435
"Thursday, April 22, 2021",11,$467
"Thursday, April 22, 2021",7,$429
"Thursday, April 22, 2021",7.5,$475
"Thursday, April 22, 2021",9.5,$415
"Thursday, April 22, 2021",10.5,$402
"Thursday, April 22, 2021",7,$407
"Thursday, April 22, 2021",6,$401
"Thursday, April 22, 2021",6.5,$410
"Thursday, April 22, 2021",6,$437
"Thursday, April 22, 2021",4.5,$380
"Thursday, April 22, 2021",6,$421
"Thursday, April 22, 2021",11,$425
"Thursday, April 22, 2021",10.5,$404
"Thursday, April 22, 2021",6.5,$440
"Thursday, April 22, 2021",9.5,$420
"Thursday, April 22, 2021",11.5,$489
"Thursday, April 22, 2021",12,$434
"Thursday, April 22, 2021",11,$468
"Thursday, April 22, 2021",10,$400
"Thursday, April 22, 2021",12,$455
"Thursday, April 22, 2021",11.5,$485
"Thursday, April 22, 2021",9,$383
"Thursday, April 22, 2021",12,$435
"Thursday, April 22, 2021",11.5,$483
"Thursday, April 22, 2021",8.5,$416
"Thursday, April 22, 2021",10.5,$405
"Thursday, April 22, 2021",13,$544
"Thursday, April 22, 2021",6,$425
"Thursday, April 22, 2021",12,$435
"Thursday, April 22, 2021",12,$440
"Thursday, April 22, 2021",13,$525
"Thursday, April 22, 2021",11,$445
"Thursday, April 22, 2021",11.5,$450
"Thursday, April 22, 2021",11,$427
"Thursday, April 22, 2021",10,$420
"Thursday, April 22, 2021",10,$420
"Thursday, April 22, 2021",10.5,$418
"Thursday, April 22, 2021",10.5,$430
"Thursday, April 22, 2021",11.5,$483
"Thursday, April 22, 2021",10,$437
"Thursday, April 22, 2021",8,$469
"Thursday, April 22, 2021",13,$525
"Thursday, April 22, 2021",9,$439
"Thursday, April 22, 2021",13,$524
"Thursday, April 22, 2021",5.5,$470
"Thursday, April 22, 2021",11,$475
"Thursday, April 22, 2021",13,$451
"Thursday, April 22, 2021",13,$452
"Thursday, April 22, 2021",7.5,$405
"Thursday, April 22, 2021",10.5,$449
"Thursday, April 22, 2021",8,$430
"Thursday, April 22, 2021",8,$468
"Thursday, April 22, 2021",11,$450
"Thursday, April 22, 2021",13,$470
"Thursday, April 22, 2021",11,$482
"Thursday, April 22, 2021",13.5,$500
"Thursday, April 22, 2021",10,$425
"Thursday, April 22, 2021",11.5,$451
"Thursday, April 22, 2021",11,$470
"Thursday, April 22, 2021",9.5,$448
"Thursday, April 22, 2021",7.5,$468
"Thursday, April 22, 2021",10,$421
"Thursday, April 22, 2021",8.5,$435
"Thursday, April 22, 2021",12,$484
"Wednesday, April 21, 2021",10,$438
"Wednesday, April 21, 2021",6.5,$465
"Wednesday, April 21, 2021",13,$488
"Wednesday, April 21, 2021",11,$487
"Wednesday, April 21, 2021",9,$449
"Wednesday, April 21, 2021",7.5,$486
"Wednesday, April 21, 2021",7,$484
"Wednesday, April 21, 2021",7.5,$485
"Wednesday, April 21, 2021",13,$490
"Wednesday, April 21, 2021",13,$489
"Wednesday, April 21, 2021",13,$489
"Wednesday, April 21, 2021",8,$469
"Wednesday, April 21, 2021",7,$484
"Wednesday, April 21, 2021",12,$459
"Wednesday, April 21, 2021",7.5,$485
"Wednesday, April 21, 2021",6.5,$466
"Wednesday, April 21, 2021",10.5,$486
"Wednesday, April 21, 2021",10.5,$464
"Wednesday, April 21, 2021",5.5,$456
"Wednesday, April 21, 2021",6,$498
"Wednesday, April 21, 2021",11.5,$452
"Wednesday, April 21, 2021",9,$464
"Wednesday, April 21, 2021",9,$464
"Wednesday, April 21, 2021",7.5,$490
"Wednesday, April 21, 2021",10,$428
"Wednesday, April 21, 2021",11,$470
"Wednesday, April 21, 2021",12,$500
"Wednesday, April 21, 2021",14,$590
"Wednesday, April 21, 2021",11,$468
"Wednesday, April 21, 2021",9.5,$459
"Wednesday, April 21, 2021",6.5,$472
"Wednesday, April 21, 2021",11.5,$504
"Wednesday, April 21, 2021",7,$445
"Wednesday, April 21, 2021",12,$460
"Wednesday, April 21, 2021",6.5,$450
"Wednesday, April 21, 2021",11,$470
"Wednesday, April 21, 2021",11,$470
"Wednesday, April 21, 2021",11,$471
"Wednesday, April 21, 2021",8.5,$475
"Wednesday, April 21, 2021",10,$455
"Wednesday, April 21, 2021",10,$456
"Wednesday, April 21, 2021",7,$481
"Wednesday, April 21, 2021",13,$520
"Wednesday, April 21, 2021",7,$482
"Wednesday, April 21, 2021",6.5,$549
"Wednesday, April 21, 2021",7,$523
"Wednesday, April 21, 2021",5.5,$518
"Wednesday, April 21, 2021",13,$465
"Wednesday, April 21, 2021",14,$565
"Tuesday, April 20, 2021",11,$490
"Tuesday, April 20, 2021",7,$549
"Tuesday, April 20, 2021",12,$485
"Tuesday, April 20, 2021",9.5,$459
"Tuesday, April 20, 2021",8,$482
"Tuesday, April 20, 2021",11,$495
"Tuesday, April 20, 2021",7,$500
"Tuesday, April 20, 2021",7,$500
"Tuesday, April 20, 2021",12,$500
